,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,74,675,688,2016.9909550000002,2036.67,1456.2493299999896,0.0097566352249705,2023-11-15 12:00:00,2023-11-16 14:00:00,1 days 02:00:00
1,77,705,706,1964.1518150000002,1950.39,-1059.6597550000054,-0.007006492520029606,2023-11-18 00:00:00,2023-11-18 02:00:00,0 days 02:00:00
2,74,825,828,2030.611355,1997.31,-2464.3002700000043,-0.0163996694483175,2023-11-28 00:00:00,2023-11-28 06:00:00,0 days 06:00:00
3,66,994,995,2239.4241050000005,2232.24,-474.150930000048,-0.0032080144997816973,2023-12-12 02:00:00,2023-12-12 04:00:00,0 days 02:00:00
4,67,1075,1084,2178.6831300000003,2226.27,3188.3202899999756,0.02184203354069192,2023-12-18 20:00:00,2023-12-19 14:00:00,0 days 18:00:00
