,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
19,67,1005,1006,2208.017065,2175.51,-2177.9733549999855,-0.014722288842454967,2023-12-13 00:00:00,2023-12-13 02:00:00,0 days 02:00:00
20,67,1012,1031,2195.4382250000003,2281.73,5781.548924999979,0.03930503441972255,2023-12-13 14:00:00,2023-12-15 04:00:00,1 days 14:00:00
21,67,1043,1044,2258.953355,2249.14,-657.4947850000153,-0.004344204353878833,2023-12-16 04:00:00,2023-12-16 06:00:00,0 days 02:00:00
22,67,1047,1048,2258.2823500000004,2246.89,-763.2874500000357,-0.005044696913120927,2023-12-16 12:00:00,2023-12-16 14:00:00,0 days 02:00:00
23,67,1049,1051,2261.216745,2236.04,-1686.841915000014,-0.011134158216221879,2023-12-16 16:00:00,2023-12-16 20:00:00,0 days 04:00:00
24,67,1061,1065,2226.89534,2197.93,-1940.6777800000132,-0.013007050434620027,2023-12-17 16:00:00,2023-12-18 00:00:00,0 days 08:00:00
25,68,1075,1084,2178.6831300000003,2226.27,3235.907159999975,0.02184203354069192,2023-12-18 20:00:00,2023-12-19 14:00:00,0 days 18:00:00
26,68,1092,1099,2214.526815,2206.28,-560.7834199999979,-0.003723962583853324,2023-12-20 06:00:00,2023-12-20 20:00:00,0 days 14:00:00
27,68,1105,1111,2220.1352150000002,2227.5,500.8053799999834,0.003317268673655782,2023-12-21 08:00:00,2023-12-21 20:00:00,0 days 12:00:00
28,67,1112,1126,2254.306395,2293.73,2641.381534999997,0.01748813075606792,2023-12-21 22:00:00,2023-12-23 02:00:00,1 days 04:00:00
29,67,1132,1133,2299.7945250000002,2287.09,-851.2031750000069,-0.005524200036957749,2023-12-23 14:00:00,2023-12-23 16:00:00,0 days 02:00:00
30,66,1134,1136,2299.34385,2291.65,-507.79410000000735,-0.0033461067599785954,2023-12-23 18:00:00,2023-12-23 22:00:00,0 days 04:00:00
31,66,1137,1140,2313.32479,2287.64,-1695.1961400000164,-0.01110297616272038,2023-12-24 00:00:00,2023-12-24 06:00:00,0 days 06:00:00
32,65,1152,1153,2290.4104700000003,2282.16,-536.2805500000263,-0.00360217965647025,2023-12-25 06:00:00,2023-12-25 08:00:00,0 days 02:00:00
33,65,1156,1158,2294.907205,2281.85,-848.7183250000044,-0.005689643995866911,2023-12-25 14:00:00,2023-12-25 18:00:00,0 days 04:00:00
34,66,1178,1193,2256.349455,2360.82,6895.0559700000085,0.04630069370172096,2023-12-27 10:00:00,2023-12-28 16:00:00,1 days 06:00:00
35,66,1200,1201,2363.7403,2335.43,-1868.4798000000064,-0.011976907953889948,2023-12-29 06:00:00,2023-12-29 08:00:00,0 days 02:00:00
36,65,1202,1205,2373.5049249999997,2328.84,-2903.220124999973,-0.01881813032260704,2023-12-29 10:00:00,2023-12-29 16:00:00,0 days 06:00:00
37,65,1217,1219,2317.861585,2301.97,-1032.9530250000198,-0.006856140635334906,2023-12-30 16:00:00,2023-12-30 20:00:00,0 days 04:00:00
38,65,1225,1229,2300.395425,2300.59,12.647374999999101,8.458328419780337e-05,2023-12-31 08:00:00,2023-12-31 16:00:00,0 days 08:00:00
39,65,1234,1235,2309.17858,2275.59,-2183.2576999999765,-0.014545683166695467,2024-01-01 02:00:00,2024-01-01 04:00:00,0 days 02:00:00
40,64,1238,1253,2305.282745,2359.61,3476.9443200000096,0.023566417229223813,2024-01-01 10:00:00,2024-01-02 16:00:00,1 days 06:00:00
41,63,1258,1261,2378.872965,2362.82,-1011.3367949999911,-0.00674813881875358,2024-01-03 02:00:00,2024-01-03 08:00:00,0 days 06:00:00
42,63,1262,1263,2381.72724,2309.46,-4552.836120000008,-0.03034236615608432,2024-01-03 10:00:00,2024-01-03 12:00:00,0 days 02:00:00
