,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,3,61,65,48033.412205,47863.51,-509.7066149999955,-0.0035371670926662713,2021-10-03 12:00:00,2021-10-03 16:00:00,0 days 04:00:00
1,2,134,151,52785.529705,54781.17,3991.280589999995,0.03780657892708361,2021-10-06 13:00:00,2021-10-07 06:00:00,0 days 17:00:00
2,2,177,182,54934.167835,54896.44,-75.45566999999573,-0.0006867826798307997,2021-10-08 08:00:00,2021-10-08 13:00:00,0 days 05:00:00
3,2,200,210,54959.305485000004,54849.6,-219.41097000001173,-0.0019961221131141738,2021-10-09 07:00:00,2021-10-09 17:00:00,0 days 10:00:00
4,2,222,227,56003.729775,55016.87,-1973.7195499999943,-0.01762132234700786,2021-10-10 05:00:00,2021-10-10 10:00:00,0 days 05:00:00
5,2,244,252,55926.774515000005,56229.93,606.3109699999914,0.005420578741201831,2021-10-11 03:00:00,2021-10-11 11:00:00,0 days 08:00:00
6,2,340,370,59204.804195000004,61620.0,4830.3916099999915,0.04079391593028814,2021-10-15 03:00:00,2021-10-16 09:00:00,1 days 06:00:00
7,2,470,479,64528.577895,65903.76,2750.364209999985,0.021311210472322317,2021-10-20 13:00:00,2021-10-20 22:00:00,0 days 09:00:00
8,2,689,698,62439.77939,61966.11,-947.3387800000055,-0.007586019595640425,2021-10-29 16:00:00,2021-10-30 01:00:00,0 days 09:00:00
9,2,721,724,61988.032785,61791.16,-393.74556999999913,-0.003175980526480604,2021-10-31 00:00:00,2021-10-31 03:00:00,0 days 03:00:00
10,2,775,790,61906.06001,63197.38,2582.6399799999926,0.020859347046014554,2021-11-02 06:00:00,2021-11-02 21:00:00,0 days 15:00:00
11,2,1070,1072,64721.326585,64387.46,-667.7331700000068,-0.0051585250583751074,2021-11-14 13:00:00,2021-11-14 15:00:00,0 days 02:00:00
12,2,1081,1094,65666.73257000001,65728.89,124.31485999998404,0.0009465588977453088,2021-11-15 00:00:00,2021-11-15 13:00:00,0 days 13:00:00
13,2,1223,1228,59692.74501,59079.15,-1227.1900199999945,-0.01027922254031377,2021-11-20 22:00:00,2021-11-21 03:00:00,0 days 05:00:00
14,2,1242,1248,59947.316295000004,59135.57,-1623.492590000009,-0.013540994746210289,2021-11-21 17:00:00,2021-11-21 23:00:00,0 days 06:00:00
15,2,1435,1441,58743.994015000004,57827.97,-1832.0480300000054,-0.015593492243072493,2021-11-29 18:00:00,2021-11-30 00:00:00,0 days 06:00:00
16,2,1455,1457,58457.555,57260.01,-2395.0899999999965,-0.020485718227524208,2021-11-30 14:00:00,2021-11-30 16:00:00,0 days 02:00:00
