,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,83,697,707,1786.15522,1783.19,-246.11326000000372,-0.0016601132795166507,2023-10-29 08:00:00,2023-10-30 04:00:00,0 days 20:00:00
1,82,710,714,1820.1261000000002,1797.95,-1818.440200000011,-0.01218382616457181,2023-10-30 10:00:00,2023-10-30 18:00:00,0 days 08:00:00
2,81,716,719,1815.549245,1795.8,-1599.6888449999979,-0.010877834933086583,2023-10-30 22:00:00,2023-10-31 04:00:00,0 days 06:00:00
3,81,722,724,1805.6143650000001,1794.22,-922.9435650000087,-0.006310519688405347,2023-10-31 10:00:00,2023-10-31 14:00:00,0 days 04:00:00
4,80,726,732,1805.474155,1801.24,-338.73240000000806,-0.0023451761900187273,2023-10-31 18:00:00,2023-11-01 06:00:00,0 days 12:00:00
5,80,760,773,1810.9723900000001,1832.01,1683.0087999999887,0.011616748060968352,2023-11-03 14:00:00,2023-11-04 16:00:00,1 days 02:00:00
6,79,774,784,1841.7585000000001,1871.23,2328.2484999999906,0.016001826515257056,2023-11-04 18:00:00,2023-11-05 14:00:00,0 days 20:00:00
7,78,811,815,1898.032785,1883.09,-1165.5372300000145,-0.007872774968953,2023-11-07 20:00:00,2023-11-08 04:00:00,0 days 08:00:00
8,78,818,819,1887.6272000000001,1881.11,-508.34160000001793,-0.0034525885195976214,2023-11-08 10:00:00,2023-11-08 12:00:00,0 days 02:00:00
9,77,820,824,1892.4744600000001,1887.25,-402.28342000001044,-0.002760650201852677,2023-11-08 14:00:00,2023-11-08 22:00:00,0 days 08:00:00
10,77,826,844,1904.13192,2075.57,13200.73216000001,0.09003477027999196,2023-11-09 02:00:00,2023-11-10 14:00:00,1 days 12:00:00
11,77,857,860,2072.44401,2046.79,-1975.3587700000153,-0.012378626335000531,2023-11-11 16:00:00,2023-11-11 22:00:00,0 days 06:00:00
12,76,865,866,2061.98835,2052.0,-759.1146000000062,-0.00484403803736333,2023-11-12 08:00:00,2023-11-12 10:00:00,0 days 02:00:00
13,76,869,870,2061.44754,2052.33,-692.9330400000144,-0.004422882379049087,2023-11-12 16:00:00,2023-11-12 18:00:00,0 days 02:00:00
14,75,872,873,2063.781035,2046.07,-1328.3276250000029,-0.008581838237504691,2023-11-12 22:00:00,2023-11-13 00:00:00,0 days 02:00:00
15,77,903,914,2016.9909550000002,2044.3,2102.7964649999803,0.013539497999384809,2023-11-15 12:00:00,2023-11-16 10:00:00,0 days 22:00:00
16,75,915,916,2073.1350450000004,2036.67,-2734.878375000028,-0.017589324481271484,2023-11-16 12:00:00,2023-11-16 14:00:00,0 days 02:00:00
17,78,933,934,1964.1518150000002,1950.39,-1073.4215700000054,-0.007006492520029606,2023-11-18 00:00:00,2023-11-18 02:00:00,0 days 02:00:00
18,78,941,946,1956.3401150000002,1951.61,-368.9489700000231,-0.002417838781576198,2023-11-18 16:00:00,2023-11-19 02:00:00,0 days 10:00:00
19,78,947,951,1959.1142700000003,1952.24,-536.1930600000196,-0.003508866279658185,2023-11-19 04:00:00,2023-11-19 12:00:00,0 days 08:00:00
20,77,983,999,1981.7281400000002,2063.26,6277.953220000004,0.041141798592010836,2023-11-22 04:00:00,2023-11-23 12:00:00,1 days 08:00:00
21,77,1002,1015,2061.86817,2088.01,2012.920910000002,0.0126787106859505,2023-11-23 18:00:00,2023-11-24 20:00:00,1 days 02:00:00
22,77,1027,1030,2085.613735,2071.35,-1098.3075949999998,-0.0068391067629788305,2023-11-25 20:00:00,2023-11-26 02:00:00,0 days 06:00:00
23,76,1032,1036,2084.391905,2083.8,-44.98477999998249,-0.00028397011069747347,2023-11-26 06:00:00,2023-11-26 14:00:00,0 days 08:00:00
24,77,1040,1041,2077.01085,2061.97,-1158.1454500000245,-0.0072415847033251435,2023-11-26 22:00:00,2023-11-27 00:00:00,0 days 02:00:00
25,78,1053,1056,2030.611355,1997.31,-2597.5056900000045,-0.0163996694483175,2023-11-28 00:00:00,2023-11-28 06:00:00,0 days 06:00:00
26,77,1058,1071,2021.4977050000002,2052.58,2393.336714999977,0.015375874493015917,2023-11-28 10:00:00,2023-11-29 12:00:00,1 days 02:00:00
27,77,1079,1080,2043.150135,2033.65,-731.510395,-0.004649748854603897,2023-11-30 04:00:00,2023-11-30 06:00:00,0 days 02:00:00
28,77,1081,1082,2038.57328,2028.79,-753.312560000008,-0.004799081836292962,2023-11-30 08:00:00,2023-11-30 10:00:00,0 days 02:00:00
29,76,1083,1084,2048.297845,2034.99,-1011.3962200000033,-0.0064970263150376795,2023-11-30 12:00:00,2023-11-30 14:00:00,0 days 02:00:00
30,76,1086,1096,2042.01844,2080.43,2919.2785599999834,0.018810584296192534,2023-11-30 18:00:00,2023-12-01 14:00:00,0 days 20:00:00
31,75,1098,1122,2096.9407,2153.42,4235.9474999999975,0.02693414267747296,2023-12-01 18:00:00,2023-12-03 18:00:00,2 days 00:00:00
32,73,1145,1152,2231.7826600000003,2270.55,2830.015819999991,0.01737057137992104,2023-12-05 16:00:00,2023-12-06 06:00:00,0 days 14:00:00
33,72,1154,1155,2278.2122000000004,2253.47,-1781.4384000000427,-0.010860357959631917,2023-12-06 10:00:00,2023-12-06 12:00:00,0 days 02:00:00
34,72,1158,1159,2273.074505,2263.72,-673.5243600000176,-0.004115353447246672,2023-12-06 18:00:00,2023-12-06 20:00:00,0 days 02:00:00
35,69,1204,1206,2350.5205,2346.68,-264.99450000001707,-0.001633893429136335,2023-12-10 14:00:00,2023-12-10 18:00:00,0 days 04:00:00
36,69,1207,1210,2360.65568,2333.5,-1873.7419199999895,-0.011503448058973076,2023-12-10 20:00:00,2023-12-11 02:00:00,0 days 06:00:00
37,72,1222,1224,2239.4241050000005,2226.57,-925.4955600000249,-0.005739915441340782,2023-12-12 02:00:00,2023-12-12 06:00:00,0 days 04:00:00
38,71,1225,1226,2237.27088,2227.34,-705.0924799999921,-0.004438836659778955,2023-12-12 08:00:00,2023-12-12 10:00:00,0 days 02:00:00
39,72,1233,1234,2208.017065,2175.51,-2340.5086799999845,-0.014722288842454967,2023-12-13 00:00:00,2023-12-13 02:00:00,0 days 02:00:00
40,71,1240,1259,2195.4382250000003,2281.73,6126.716024999978,0.03930503441972255,2023-12-13 14:00:00,2023-12-15 04:00:00,1 days 14:00:00
41,72,1271,1273,2258.953355,2242.54,-1181.76156000001,-0.007265911429145122,2023-12-16 04:00:00,2023-12-16 08:00:00,0 days 04:00:00
42,72,1274,1276,2250.8311900000003,2246.89,-283.76568000003317,-0.0017509931520011124,2023-12-16 10:00:00,2023-12-16 14:00:00,0 days 04:00:00
43,71,1277,1279,2261.216745,2236.04,-1787.548895000015,-0.011134158216221879,2023-12-16 16:00:00,2023-12-16 20:00:00,0 days 04:00:00
44,72,1289,1293,2226.89534,2197.93,-2085.504480000014,-0.013007050434620027,2023-12-17 16:00:00,2023-12-18 00:00:00,0 days 08:00:00
45,72,1303,1312,2178.6831300000003,2226.27,3426.2546399999737,0.02184203354069192,2023-12-18 20:00:00,2023-12-19 14:00:00,0 days 18:00:00
46,73,1320,1327,2214.526815,2206.28,-602.0174949999978,-0.003723962583853324,2023-12-20 06:00:00,2023-12-20 20:00:00,0 days 14:00:00
47,72,1333,1339,2220.1352150000002,2227.5,530.2645199999824,0.003317268673655782,2023-12-21 08:00:00,2023-12-21 20:00:00,0 days 12:00:00
48,71,1340,1354,2254.306395,2293.73,2799.0759549999966,0.01748813075606792,2023-12-21 22:00:00,2023-12-23 02:00:00,1 days 04:00:00
49,71,1380,1381,2290.4104700000003,2282.16,-585.7833700000288,-0.00360217965647025,2023-12-25 06:00:00,2023-12-25 08:00:00,0 days 02:00:00
50,71,1384,1386,2294.907205,2281.85,-927.0615550000048,-0.005689643995866911,2023-12-25 14:00:00,2023-12-25 18:00:00,0 days 04:00:00
51,72,1401,1403,2235.798675,2219.68,-1160.544600000012,-0.007209358865909565,2023-12-27 00:00:00,2023-12-27 04:00:00,0 days 04:00:00
