,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,74,675,688,2016.9909550000002,2036.67,1456.2493299999896,0.0097566352249705,2023-11-15 12:00:00,2023-11-16 14:00:00,1 days 02:00:00
1,77,705,706,1964.1518150000002,1950.39,-1059.6597550000054,-0.007006492520029606,2023-11-18 00:00:00,2023-11-18 02:00:00,0 days 02:00:00
2,76,713,718,1956.3401150000002,1951.61,-359.4887400000225,-0.002417838781576198,2023-11-18 16:00:00,2023-11-19 02:00:00,0 days 10:00:00
3,73,825,828,2030.611355,1997.31,-2430.998915000004,-0.0163996694483175,2023-11-28 00:00:00,2023-11-28 06:00:00,0 days 06:00:00
4,72,831,845,2031.031985,2031.52,35.13707999999315,0.00024027932775272376,2023-11-28 12:00:00,2023-11-29 16:00:00,1 days 04:00:00
5,65,994,995,2239.4241050000005,2232.24,-466.96682500004727,-0.0032080144997816973,2023-12-12 02:00:00,2023-12-12 04:00:00,0 days 02:00:00
6,65,997,998,2237.27088,2227.34,-645.5071999999927,-0.004438836659778955,2023-12-12 08:00:00,2023-12-12 10:00:00,0 days 02:00:00
7,66,1005,1006,2208.017065,2175.51,-2145.4662899999857,-0.014722288842454967,2023-12-13 00:00:00,2023-12-13 02:00:00,0 days 02:00:00
8,66,1075,1084,2178.6831300000003,2226.27,3140.733419999976,0.02184203354069192,2023-12-18 20:00:00,2023-12-19 14:00:00,0 days 18:00:00
9,65,1178,1193,2256.349455,2360.82,6790.585425000008,0.04630069370172096,2023-12-27 10:00:00,2023-12-28 16:00:00,1 days 06:00:00
10,61,1404,1405,2523.09898,2514.32,-535.5177800000029,-0.0034794433629393717,2024-01-15 06:00:00,2024-01-15 08:00:00,0 days 02:00:00
11,60,1406,1409,2533.083935,2515.01,-1084.4360999999935,-0.007135150458407513,2024-01-15 10:00:00,2024-01-15 16:00:00,0 days 06:00:00
12,60,1410,1412,2536.308765,2522.72,-815.3259000000253,-0.00535769350621651,2024-01-15 18:00:00,2024-01-15 22:00:00,0 days 04:00:00
13,61,1454,1457,2486.46411,2463.67,-1390.440709999989,-0.009167278911578536,2024-01-19 10:00:00,2024-01-19 16:00:00,0 days 06:00:00
14,60,1459,1463,2497.32037,2481.82,-930.0221999999849,-0.006206800771820786,2024-01-19 20:00:00,2024-01-20 04:00:00,0 days 08:00:00
