,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,3,821,830,43870.96789000001,43844.11,-80.57367000001977,-0.0006122019023457881,2022-02-07 16:00:00,2022-02-08 10:00:00,0 days 18:00:00
1,3,847,851,44521.812695,43748.77,-2319.128085000011,-0.017363234967448182,2022-02-09 20:00:00,2022-02-10 04:00:00,0 days 08:00:00
2,3,853,856,44132.289285000006,43628.39,-1511.6978550000204,-0.011417927625414936,2022-02-10 08:00:00,2022-02-10 14:00:00,0 days 06:00:00
3,3,914,923,44093.6414,43970.9,-368.2241999999969,-0.0027836530643168267,2022-02-15 10:00:00,2022-02-16 04:00:00,0 days 18:00:00
4,3,925,926,44231.8484,44002.7,-687.4452000000165,-0.005180620034861749,2022-02-16 08:00:00,2022-02-16 10:00:00,0 days 02:00:00
5,3,1073,1094,40853.9892,43900.0,9138.03239999999,0.07455846686325551,2022-02-28 16:00:00,2022-03-02 10:00:00,1 days 18:00:00
6,3,1178,1186,42069.009000000005,40931.1,-3413.727000000021,-0.027048628599737334,2022-03-09 10:00:00,2022-03-10 02:00:00,0 days 16:00:00
7,3,1262,1273,40549.633350000004,40720.6,512.8999499999845,0.00421623171100749,2022-03-16 10:00:00,2022-03-17 08:00:00,0 days 22:00:00
8,3,1276,1277,41173.668000000005,40788.3,-1156.1040000000066,-0.009359574182217667,2022-03-17 14:00:00,2022-03-17 16:00:00,0 days 02:00:00
9,3,1280,1282,41044.6748,40520.0,-1574.024400000002,-0.012783017591358803,2022-03-17 22:00:00,2022-03-18 02:00:00,0 days 04:00:00
10,3,1290,1308,41697.0519,41882.1,555.1442999999999,0.004437918067775826,2022-03-18 18:00:00,2022-03-20 06:00:00,1 days 12:00:00
11,3,1340,1341,42869.30765,42349.9,-1558.222950000003,-0.012116072744645767,2022-03-22 22:00:00,2022-03-23 00:00:00,0 days 02:00:00
12,3,1356,1377,43051.079900000004,44290.6,3718.560299999983,0.02879184686839853,2022-03-24 06:00:00,2022-03-26 00:00:00,1 days 18:00:00
13,3,1380,1383,44545.618350000004,44323.6,-666.0550500000172,-0.004984067080528121,2022-03-26 06:00:00,2022-03-26 12:00:00,0 days 06:00:00
14,3,1390,1394,44766.949850000005,44520.0,-740.8495500000136,-0.005516342990251832,2022-03-27 02:00:00,2022-03-27 10:00:00,0 days 08:00:00
15,3,1397,1413,44903.35415,47121.8,6655.337550000011,0.0494049028629191,2022-03-27 16:00:00,2022-03-29 00:00:00,1 days 08:00:00
16,3,1416,1417,47687.6243,47330.0,-1072.8729000000094,-0.007499310465755471,2022-03-29 06:00:00,2022-03-29 08:00:00,0 days 02:00:00
17,3,1419,1421,47945.210100000004,47424.0,-1563.6303000000116,-0.010870952466636608,2022-03-29 12:00:00,2022-03-29 16:00:00,0 days 04:00:00
18,3,1423,1424,47776.25705,47257.4,-1556.5711499999961,-0.010860144390486548,2022-03-29 20:00:00,2022-03-29 22:00:00,0 days 02:00:00
